genome	target_illumina_depth	polishing	remaining_errors
ATCC_33560_Campylobacter_jejuni	34	hybracter	0
ATCC_35221_Campylobacter_lari	34	hybracter	0
ATCC_35897_Listeria_welshimeri	34	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	34	hybracter	0
ATCC_10708_Salmonella_enterica	35	hybracter	2
ATCC_19119_Listeria_ivanovii	35	hybracter	7
ATCC_25922_Escherichia_coli	35	hybracter	345
ATCC_33560_Campylobacter_jejuni	35	hybracter	0
ATCC_35221_Campylobacter_lari	35	hybracter	7
ATCC_35897_Listeria_welshimeri	35	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	35	hybracter	0
ATCC_10708_Salmonella_enterica	36	hybracter	13
ATCC_19119_Listeria_ivanovii	36	hybracter	1
ATCC_25922_Escherichia_coli	36	hybracter	2
ATCC_33560_Campylobacter_jejuni	36	hybracter	1
ATCC_35221_Campylobacter_lari	36	hybracter	4
ATCC_35897_Listeria_welshimeri	36	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	36	hybracter	3
ATCC_10708_Salmonella_enterica	37	hybracter	0
ATCC_19119_Listeria_ivanovii	37	hybracter	7
ATCC_25922_Escherichia_coli	37	hybracter	345
ATCC_33560_Campylobacter_jejuni	37	hybracter	0
ATCC_35221_Campylobacter_lari	37	hybracter	0
ATCC_35897_Listeria_welshimeri	37	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	37	hybracter	0
ATCC_10708_Salmonella_enterica	38	hybracter	1
ATCC_19119_Listeria_ivanovii	38	hybracter	0
ATCC_25922_Escherichia_coli	38	hybracter	2
ATCC_33560_Campylobacter_jejuni	38	hybracter	0
ATCC_35221_Campylobacter_lari	38	hybracter	1
ATCC_35897_Listeria_welshimeri	38	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	38	hybracter	0
ATCC_10708_Salmonella_enterica	39	hybracter	2
ATCC_19119_Listeria_ivanovii	39	hybracter	7
ATCC_25922_Escherichia_coli	39	hybracter	2
ATCC_33560_Campylobacter_jejuni	39	hybracter	0
ATCC_35221_Campylobacter_lari	39	hybracter	0
ATCC_35897_Listeria_welshimeri	39	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	39	hybracter	0
ATCC_10708_Salmonella_enterica	40	hybracter	0
ATCC_19119_Listeria_ivanovii	40	hybracter	7
ATCC_25922_Escherichia_coli	40	hybracter	0
ATCC_33560_Campylobacter_jejuni	40	hybracter	1
ATCC_35221_Campylobacter_lari	40	hybracter	0
ATCC_35897_Listeria_welshimeri	40	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	40	hybracter	0
ATCC_10708_Salmonella_enterica	41	hybracter	13
ATCC_19119_Listeria_ivanovii	41	hybracter	7
ATCC_25922_Escherichia_coli	41	hybracter	2
ATCC_33560_Campylobacter_jejuni	41	hybracter	0
ATCC_35221_Campylobacter_lari	41	hybracter	0
ATCC_35897_Listeria_welshimeri	41	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	41	hybracter	0
ATCC_10708_Salmonella_enterica	42	hybracter	1
ATCC_19119_Listeria_ivanovii	42	hybracter	7
ATCC_25922_Escherichia_coli	42	hybracter	2
ATCC_33560_Campylobacter_jejuni	42	hybracter	2
ATCC_35221_Campylobacter_lari	42	hybracter	0
ATCC_35897_Listeria_welshimeri	42	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	42	hybracter	0
ATCC_10708_Salmonella_enterica	43	hybracter	1
ATCC_19119_Listeria_ivanovii	43	hybracter	7
ATCC_25922_Escherichia_coli	43	hybracter	2
ATCC_33560_Campylobacter_jejuni	43	hybracter	0
ATCC_35221_Campylobacter_lari	43	hybracter	0
ATCC_35897_Listeria_welshimeri	43	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	43	hybracter	0
ATCC_10708_Salmonella_enterica	44	hybracter	13
ATCC_19119_Listeria_ivanovii	44	hybracter	7
ATCC_25922_Escherichia_coli	44	hybracter	2
ATCC_33560_Campylobacter_jejuni	44	hybracter	0
ATCC_35221_Campylobacter_lari	44	hybracter	1
ATCC_35897_Listeria_welshimeri	44	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	44	hybracter	3
ATCC_10708_Salmonella_enterica	45	hybracter	0
ATCC_19119_Listeria_ivanovii	45	hybracter	7
ATCC_25922_Escherichia_coli	45	hybracter	345
ATCC_33560_Campylobacter_jejuni	45	hybracter	0
ATCC_35221_Campylobacter_lari	45	hybracter	0
ATCC_35897_Listeria_welshimeri	45	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	45	hybracter	0
ATCC_10708_Salmonella_enterica	46	hybracter	0
ATCC_19119_Listeria_ivanovii	46	hybracter	7
ATCC_25922_Escherichia_coli	46	hybracter	2
ATCC_33560_Campylobacter_jejuni	46	hybracter	0
ATCC_35221_Campylobacter_lari	46	hybracter	1
ATCC_35897_Listeria_welshimeri	46	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	46	hybracter	0
ATCC_10708_Salmonella_enterica	47	hybracter	1
ATCC_19119_Listeria_ivanovii	47	hybracter	0
ATCC_25922_Escherichia_coli	47	hybracter	2
ATCC_33560_Campylobacter_jejuni	47	hybracter	0
ATCC_35221_Campylobacter_lari	47	hybracter	0
ATCC_35897_Listeria_welshimeri	47	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	47	hybracter	0
ATCC_10708_Salmonella_enterica	48	hybracter	2
ATCC_19119_Listeria_ivanovii	48	hybracter	7
ATCC_25922_Escherichia_coli	48	hybracter	2
ATCC_33560_Campylobacter_jejuni	48	hybracter	0
ATCC_35221_Campylobacter_lari	48	hybracter	0
ATCC_35897_Listeria_welshimeri	48	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	48	hybracter	3
ATCC_10708_Salmonella_enterica	49	hybracter	1
ATCC_19119_Listeria_ivanovii	49	hybracter	7
ATCC_25922_Escherichia_coli	49	hybracter	2
ATCC_33560_Campylobacter_jejuni	49	hybracter	0
ATCC_35221_Campylobacter_lari	49	hybracter	1
ATCC_35897_Listeria_welshimeri	49	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	49	hybracter	0
ATCC_10708_Salmonella_enterica	50	hybracter	13
ATCC_19119_Listeria_ivanovii	50	hybracter	6
ATCC_25922_Escherichia_coli	50	hybracter	345
ATCC_33560_Campylobacter_jejuni	50	hybracter	0
ATCC_35221_Campylobacter_lari	50	hybracter	0
ATCC_35897_Listeria_welshimeri	50	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	50	hybracter	0
