genome	target_illumina_depth	polishing	remaining_errors
ATCC_33560_Campylobacter_jejuni	00.4	pypolca	2492
ATCC_33560_Campylobacter_jejuni	00.4	pypolca-careful	2515
ATCC_33560_Campylobacter_jejuni	00.4	HyPo	2524
ATCC_33560_Campylobacter_jejuni	00.4	FMLRC2	2534
ATCC_33560_Campylobacter_jejuni	00.4	NextPolish	2851
ATCC_33560_Campylobacter_jejuni	00.4	Pilon	2533
ATCC_35221_Campylobacter_lari	00.4	Polypolish	2736
ATCC_35221_Campylobacter_lari	00.4	Polypolish-careful	2736
ATCC_35221_Campylobacter_lari	00.4	pypolca	2688
ATCC_35221_Campylobacter_lari	00.4	pypolca-careful	2722
ATCC_35221_Campylobacter_lari	00.4	HyPo	2727
ATCC_35221_Campylobacter_lari	00.4	FMLRC2	2738
ATCC_35221_Campylobacter_lari	00.4	NextPolish	3135
ATCC_35221_Campylobacter_lari	00.4	Pilon	2736
ATCC_35897_Listeria_welshimeri	00.4	Polypolish	668
ATCC_35897_Listeria_welshimeri	00.4	Polypolish-careful	668
ATCC_35897_Listeria_welshimeri	00.4	pypolca	665
ATCC_35897_Listeria_welshimeri	00.4	pypolca-careful	667
ATCC_35897_Listeria_welshimeri	00.4	HyPo	672
ATCC_35897_Listeria_welshimeri	00.4	FMLRC2	669
ATCC_35897_Listeria_welshimeri	00.4	NextPolish	3036
ATCC_35897_Listeria_welshimeri	00.4	Pilon	668
ATCC_BAA-679_Listeria_monocytogenes	00.4	Polypolish	794
ATCC_BAA-679_Listeria_monocytogenes	00.4	Polypolish-careful	794
ATCC_BAA-679_Listeria_monocytogenes	00.4	pypolca	788
ATCC_BAA-679_Listeria_monocytogenes	00.4	pypolca-careful	794
ATCC_BAA-679_Listeria_monocytogenes	00.4	HyPo	790
ATCC_BAA-679_Listeria_monocytogenes	00.4	FMLRC2	793
ATCC_BAA-679_Listeria_monocytogenes	00.4	NextPolish	2601
ATCC_BAA-679_Listeria_monocytogenes	00.4	Pilon	795
ATCC_10708_Salmonella_enterica	00.5	Polypolish	4123
ATCC_10708_Salmonella_enterica	00.5	Polypolish-careful	4123
