genome	target_illumina_depth	polishing	remaining_errors
ATCC_19119_Listeria_ivanovii	00.2	pypolca-careful+Polypolish	5
ATCC_25922_Escherichia_coli	00.2	Polypolish	1
ATCC_25922_Escherichia_coli	00.2	Polypolish-careful	1
ATCC_25922_Escherichia_coli	00.2	pypolca	6
ATCC_25922_Escherichia_coli	00.2	pypolca-careful	1
ATCC_25922_Escherichia_coli	00.2	HyPo	3
ATCC_25922_Escherichia_coli	00.2	FMLRC2	6
ATCC_25922_Escherichia_coli	00.2	NextPolish	2194
ATCC_25922_Escherichia_coli	00.2	Polypolish+pypolca	6
ATCC_25922_Escherichia_coli	00.2	Polypolish-careful+pypolca-careful	1
ATCC_25922_Escherichia_coli	00.2	Polypolish-careful+pypolca	6
ATCC_25922_Escherichia_coli	00.2	Polypolish+pypolca-careful	1
ATCC_25922_Escherichia_coli	00.2	pypolca+Polypolish	6
ATCC_25922_Escherichia_coli	00.2	pypolca-careful+Polypolish-careful	1
ATCC_25922_Escherichia_coli	00.2	pypolca+Polypolish-careful	6
ATCC_25922_Escherichia_coli	00.2	pypolca-careful+Polypolish	1
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish	5
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish-careful	5
ATCC_33560_Campylobacter_jejuni	00.2	pypolca	6
ATCC_33560_Campylobacter_jejuni	00.2	pypolca-careful	5
ATCC_33560_Campylobacter_jejuni	00.2	HyPo	5
ATCC_33560_Campylobacter_jejuni	00.2	FMLRC2	5
ATCC_33560_Campylobacter_jejuni	00.2	NextPolish	644
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish+pypolca	6
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish-careful+pypolca-careful	5
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish-careful+pypolca	6
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish+pypolca-careful	5
ATCC_33560_Campylobacter_jejuni	00.2	pypolca+Polypolish	6
ATCC_33560_Campylobacter_jejuni	00.2	pypolca-careful+Polypolish-careful	5
ATCC_33560_Campylobacter_jejuni	00.2	pypolca+Polypolish-careful	6
ATCC_33560_Campylobacter_jejuni	00.2	pypolca-careful+Polypolish	5
ATCC_35221_Campylobacter_lari	00.2	Polypolish	18
ATCC_35221_Campylobacter_lari	00.2	Polypolish-careful	18
ATCC_35221_Campylobacter_lari	00.2	pypolca	19
ATCC_35221_Campylobacter_lari	00.2	pypolca-careful	18
ATCC_35221_Campylobacter_lari	00.2	HyPo	18
ATCC_35221_Campylobacter_lari	00.2	FMLRC2	18
ATCC_35221_Campylobacter_lari	00.2	NextPolish	588
ATCC_35221_Campylobacter_lari	00.2	Polypolish+pypolca	19
