"","genome","depth","Polypolish","Polypolish-careful","pypolca","pypolca-careful","HyPo","FMLRC2","NextPolish","Pilon","Polypolish+pypolca","Polypolish-careful+pypolca-careful","Polypolish-careful+pypolca","Polypolish+pypolca-careful","pypolca+Polypolish","pypolca-careful+Polypolish-careful","pypolca+Polypolish-careful","pypolca-careful+Polypolish","Hapo-G","before_polish","Polypolish_overall_decreased_accuracy","Polypolish-careful_overall_decreased_accuracy","pypolca_overall_decreased_accuracy","pypolca-careful_overall_decreased_accuracy","HyPo_overall_decreased_accuracy","FMLRC2_overall_decreased_accuracy","NextPolish_overall_decreased_accuracy","Pilon_overall_decreased_accuracy","Hapo-G_overall_decreased_accuracy","Polypolish+pypolca_overall_decreased_accuracy","Polypolish-careful+pypolca-careful_overall_decreased_accuracy","Polypolish-careful+pypolca_overall_decreased_accuracy","Polypolish+pypolca-careful_overall_decreased_accuracy","pypolca+Polypolish_overall_decreased_accuracy","pypolca-careful+Polypolish-careful_overall_decreased_accuracy","pypolca-careful+Polypolish_overall_decreased_accuracy","pypolca+Polypolish-careful_overall_decreased_accuracy"
"53","ATCC_35897_Listeria_welshimeri",0.6,1,1,14,1,1,1567,3548,1,14,1,14,1,14,1,14,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"54","ATCC_BAA-679_Listeria_monocytogenes",0.6,0,0,15,0,2,36,3028,0,15,0,15,0,15,0,15,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"55","ATCC_10708_Salmonella_enterica",0.7,3,3,26,3,14,34,4648,3,26,3,26,3,26,3,26,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"56","ATCC_14035_Vibrio_cholerae",0.7,2,2,35,2,7,1227,5868,2,35,2,35,2,35,2,35,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"57","ATCC_17802_Vibrio_parahaemolyticus",0.7,2,2,36,2,11,436,5438,2,36,2,36,2,36,2,36,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"58","ATCC_19119_Listeria_ivanovii",0.7,5,5,15,5,7,5,1690,5,15,5,15,5,15,5,15,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"59","ATCC_25922_Escherichia_coli",0.7,1,1,45,1,7,5635,5437,1,45,1,45,1,45,1,45,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"60","ATCC_33560_Campylobacter_jejuni",0.7,5,5,16,5,10,6,1374,5,16,5,16,5,16,5,16,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"61","ATCC_35221_Campylobacter_lari",0.7,18,18,24,18,19,198,1643,18,24,18,24,18,24,18,24,18,18,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"62","ATCC_35897_Listeria_welshimeri",0.7,1,1,18,1,3,4,3835,1,18,1,18,1,18,1,18,1,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"63","ATCC_BAA-679_Listeria_monocytogenes",0.7,0,0,20,0,4,275,3202,0,20,0,20,0,20,0,20,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"64","ATCC_10708_Salmonella_enterica",0.8,3,3,52,3,19,216,4677,3,52,3,52,3,52,3,52,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"65","ATCC_14035_Vibrio_cholerae",0.8,2,2,48,2,11,810,6068,2,48,2,48,2,48,2,48,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
